,car,location,delay,price,ARAI Mileage,Engine Displacement (cc),Max Torque (nm@rpm),Seating Capacity,Boot Space (Litres),Body Type,Fuel Type,Max Power (bhp@rpm),TransmissionType,Fuel Tank Capacity,Service Cost (Avg. of 5 years),City Mileage,Monthly Units Sold
0,Baleno,Hyderabad,45 days,"6,86,687",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,1037
1,Baleno,Chandigarh,42 days,"6,36,109",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,277
2,Baleno,Gurugram,42 days,"6,24,232",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,57
3,Baleno,Mumbai,42 days,"6,64,625",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,3658
4,Baleno,Chennai,30 days,"6,60,264",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,1247
5,Baleno,Delhi,30 days,"6,18,997",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,3149
6,Baleno,Noida,30 days,"6,38,538",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,85
7,Baleno,Patna,30 days,"6,53,969",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,461
8,Baleno,Ahmedabad,28 days,"6,41,352",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,1072
9,Baleno,Indore,28 days,"6,51,245",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,529
10,Baleno,Lucknow,28 days,"6,49,252",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,712
11,Baleno,Jaipur,25 days,"6,58,874",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,781
12,Baleno,Pune,21 days,"6,65,970",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,846
13,Baleno,Kolkata,15 days,"6,37,440",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,1335
14,Baleno,Bengaluru,10 days,"7,12,141",0,1197,113Nm@4200rpm,5,339,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,"Rs.3,366",0,1471
15,Celerio,Gurugram,56 days,"4,85,206",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,31
16,Celerio,Bengaluru,45 days,"5,25,380",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,811
17,Celerio,Kolkata,42 days,"4,96,147",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,736
18,Celerio,Indore,35 days,"5,14,606",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,292
19,Celerio,Lucknow,35 days,"5,04,631",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,393
20,Celerio,Chandigarh,28 days,"4,95,707",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,153
21,Celerio,Chennai,28 days,"5,13,995",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,688
22,Celerio,Mumbai,15 days,"5,20,584",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,2017
23,Celerio,Pune,15 days,"5,18,457",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,466
24,Celerio,Jaipur,14 days,"5,16,554",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,431
25,Celerio,Noida,14 days,"4,97,801",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,47
26,Celerio,Ahmedabad,0 days,"4,98,599",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,591
27,Celerio,Delhi,0 days,"4,83,484",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,1736
28,Celerio,Hyderabad,0 days,"5,22,419",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,572
29,Celerio,Patna,0 days,"5,15,355",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67.04bhp@6000rpm,Automatic,35,"Rs.3,608",0,254
30,Celerio X,Gurugram,56 days,"5,37,828",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,31
31,Celerio X,Noida,56 days,"5,51,836",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,47
32,Celerio X,Bengaluru,45 days,"5,82,005",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,811
33,Celerio X,Jaipur,42 days,"5,70,349",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,431
34,Celerio X,Indore,35 days,"5,70,360",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,292
35,Celerio X,Lucknow,35 days,"5,59,110",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,393
36,Celerio X,Chandigarh,28 days,"5,49,207",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,153
37,Celerio X,Chennai,28 days,"5,69,501",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,688
38,Celerio X,Kolkata,28 days,"5,49,697",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,736
39,Celerio X,Patna,21 days,"5,70,370",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,254
40,Celerio X,Mumbai,20 days,"5,76,189",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,2017
41,Celerio X,Pune,15 days,"5,74,452",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,466
42,Celerio X,Ahmedabad,0 days,"5,51,851",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,591
43,Celerio X,Delhi,0 days,"5,35,587",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,1736
44,Celerio X,Hyderabad,0 days,"5,74,592",21.63 kmpl,998,90Nm@3500rpm,5,235,Hatchback,Petrol,67bhp@6000rpm,Automatic,35,"Rs.2,865",0,572
45,Ciaz,Hyderabad,45 days,"9,94,425",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,182
46,Ciaz,Chandigarh,42 days,"9,24,821",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,49
47,Ciaz,Mumbai,42 days,"9,60,529",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,642
48,Ciaz,Chennai,30 days,"9,57,392",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,219
49,Ciaz,Delhi,30 days,"9,29,062",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,553
50,Ciaz,Gurugram,30 days,"9,36,789",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,10
51,Ciaz,Noida,30 days,"9,35,513",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,15
52,Ciaz,Patna,30 days,"9,56,534",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,81
53,Ciaz,Ahmedabad,28 days,"9,19,200",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,188
54,Ciaz,Lucknow,28 days,"9,38,291",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,125
55,Ciaz,Jaipur,25 days,"9,62,313",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,137
56,Ciaz,Pune,21 days,"9,65,712",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,148
57,Ciaz,Kolkata,15 days,"9,24,113",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,234
58,Ciaz,Indore,14 days,"9,38,001",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,93
59,Ciaz,Bengaluru,10 days,"10,28,029",20.04 kmpl,1462,138Nm@4400rpm,5,510,Sedan,Petrol,103.25bhp@6000rpm,Automatic,43,"Rs.3,242",0,258
60,Dzire,Gurugram,56 days,"6,49,760",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,65
61,Dzire,Bengaluru,45 days,"7,02,688",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,1678
62,Dzire,Indore,35 days,"6,68,849",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,604
63,Dzire,Lucknow,35 days,"6,68,791",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,813
64,Dzire,Chandigarh,28 days,"6,57,011",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,316
65,Dzire,Chennai,28 days,"6,81,178",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,1423
66,Dzire,Jaipur,28 days,"6,81,724",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,892
67,Dzire,Patna,28 days,"6,81,865",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,526
68,Dzire,Mumbai,21 days,"6,87,068",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,4173
69,Dzire,Pune,15 days,"6,87,068",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,965
70,Dzire,Kolkata,14 days,"6,57,618",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,1523
71,Dzire,Noida,14 days,"6,66,624",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,97
72,Dzire,Ahmedabad,0 days,"6,57,618",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,1223
73,Dzire,Delhi,0 days,"6,46,809",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,3593
